input_text,model_output,real_label,manual_label,score
I've been having a headache and chest pain. I've also been feeling dizzy and unstable. I'm also having problems focusing.,"['Migraine', 'Vertigo', 'Angina', 'Anxiety Disorder']",hypertension,0,0
"I've been feeling really dizzy and lightheaded lately. I also have a headache and my chest hurts. I'm not sure what's going on, but I'm worried.","['Hypertension', 'Heart Attack', 'Migraine', 'Vertigo']",hypertension,1,5
I have a fever and a headache. I have sores near my nose and rashes on my neck. I'm really struggling right now.,"['Herpes Simplex Virus Infection', 'Shingles', 'Contact Dermatitis', 'Rosacea']",impetigo,0,0
"I'm running a fever and I have a rash on my face, neck, and arms. The rash is painful and red. I'm worried about my health.","['Scarlet Fever', 'Chickenpox', 'Shingles', 'Rubella']",impetigo,0,0
I have been feeling really tired and I have a fever. I have a rash on my face and it is very itchy. I can't sleep because of the rash.,"['Measles', 'Rubella', 'Scarlet Fever', 'Roseola']",impetigo,0,0
"I have been feeling really sick lately. I have been itching all over, and I have been vomiting. I have also lost a lot of weight, and I have a fever. My skin has turned yellow, and my urine is dark. I have also been having abdominal pain.","['Hepatitis', 'Liver Disease', 'Cholestasis', 'Pancreatitis']",jaundice,1,5
I've been feeling really sick and tired. I've lost weight and have a fever. My urine is dark and my skin is yellow. I also have stomach pain.,"['Hepatitis', 'Liver disease', 'Gallstones', 'Pancreatitis']",jaundice,1,5
I have been having intense itching all over my body. I have also been vomiting and feeling very tired. I have lost a lot of weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been having abdominal pain.,"['Hepatitis', 'Liver Disease', 'Gallbladder Infection', 'Chikungunya']",jaundice,1,5
"I've been feeling really sick for the past few days. I have a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. My head hurts and I feel nauseous and achy all over.","['Influenza', 'Viral Infection', 'Chickenpox', 'Heat Exhaustion']",malaria,0,0
"I've been feeling really sick lately. I've been having a high fever, chills, and vomiting. I'm also sweating a lot and have a headache. I feel nauseous and my muscles are really sore.","['Influenza', 'COVID-19', 'Dengue Fever', 'Gastroenteritis']",malaria,0,0
"I've been having a really high fever, chills, and nausea. I've also been sweating a lot and have a headache. My muscles are sore and I feel sick.","['Influenza', 'Malaria', 'COVID-19', 'Dengue Fever']",malaria,1,3
"I've been having a lot of headaches lately, and they're getting worse. I also have a sore neck, and I'm feeling anxious and irritated. I've also been having trouble seeing things clearly.","['Migraine', 'Tension Headache', 'Cervical Spondylosis', 'Anxiety Disorder']",migraine,1,5
"I have been having frequent headaches and blurred vision. I also have a stiff neck, anxiety, irritability, and visual disturbance. I have also been having stomach problems, including indigestion and acidity.","['Migraine', 'Tension Headache', 'Gastroesophageal Reflux Disease (GERD)', 'Cervical Spondylosis']",migraine,1,5
I've been having a lot of headaches and blurred vision. I also feel like I'm always hungry and my neck is sore. I've been feeling really irritable and sad too.,"['Migraine', 'Tension Headache', 'Diabetes', 'Depression']",migraine,1,5
"I have a lot of hunger and I can't seem to get enough to eat. My stomach hurts and cramps sometimes. After I eat, I get really bad gas and bloating.","['Diabetes Mellitus', 'Gastritis', 'Irritable Bowel Syndrome', 'Hyperthyroidism']",peptic ulcer disease,1,3
I have been losing weight and having trouble gaining weight. I have pain and discomfort in my stomach that is relieved by taking antacids. My mouth tastes bad.,"['Gastroesophageal Reflux Disease (GERD)', 'Peptic Ulcer Disease', 'Celiac Disease', 'Chronic Infection']",peptic ulcer disease,1,3
I have a really strong appetite and I'm always hungry. My stomach sometimes aches and cramps. I have really painful gas and bloating after eating.,"['Irritable Bowel Syndrome', 'Hyperthyroidism', 'Diabetes Mellitus', 'Hormonal Imbalance']",peptic ulcer disease,0,0
I'm having trouble breathing and I feel really uncomfortable. I'm sweating a lot and my throat is really sore. My chest hurts and my heart is beating fast. I'm coughing up a lot of mucus and it's brown.,"['Pneumonia', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Acute Bronchitis', 'Lung Infection']",pneumonia,1,5
"I've been feeling really sick for the past few days. I have a fever, I can't catch my breath, and I'm coughing up a lot of phlegm. My chest hurts, and my heart is racing.","['Pneumonia', 'COVID-19', 'Bronchitis', 'Myocarditis']",pneumonia,1,5
I'm feeling really hot. I can't breathe well. I'm sweating a lot. I'm shaking. I'm really tired. My heart is beating fast. I have some brown stuff coming up when I cough.,"['Respiratory Infection', 'Heatstroke', 'Anxiety Attack', 'Allergic Reaction']",pneumonia,1,5
I have a rash on my skin that is red and itchy. It bleeds when I scratch it. I also have little dents in my nails and they are inflamed.,"['Psoriasis', 'Eczema', 'Fungal Infection', 'Contact Dermatitis']",psoriasis,1,5
"I've had this rash on my arms, legs, and chest for a few weeks. It's red and itchy, and it's covered in dry, scaly spots. I also have some pain in my joints.","['Eczema', 'Psoriasis', 'Contact Dermatitis', 'Fungal Infection']",psoriasis,1,3
"I have red, itchy, and scaly patches on my skin. They are often on my genitals, but I also have them on other parts of my body. They are sometimes painful and uncomfortable.","['Genital Herpes', 'Psoriasis', 'Eczema', 'Contact Dermatitis']",psoriasis,1,3
"I have been having diarrhea for a few days now. I have loose, watery stools and I have to go to the bathroom a lot. I also feel nauseated and have lost my appetite. I have a mild fever too.","['Gastroenteritis', 'Food Poisoning', 'Inflammatory Bowel Disease', 'Irritable Bowel Syndrome']",typhoid,0,0
"I'm feeling really weak. I've been having a lot of stomach pain and constipation, and I've been vomiting a lot. I can't eat anything because of the pain.","['Gastroenteritis', 'Peptic Ulcer Disease', 'Irritable Bowel Syndrome', 'Hypothyroidism']",typhoid,0,0
I have a high fever and a headache. I also have a lot of pain in my belly. I can't go to work because of this.,"['Gastroenteritis', 'Appendicitis', 'Influenza', 'COVID-19']",typhoid,0,0
"I have a pain in my lower abdomen and I feel like I have to pee all the time. When I do pee, it burns and I feel like I'm not getting everything out. I've also been feeling really cold and weak.","['Urinary Tract Infection (UTI)', 'Kidney Infection', 'Bladder Stones', 'Interstitial Cystitis']",urinary tract infection,1,5
"I've been having a hard time peeing. It hurts when I go, and it's bloody. My head hurts, and my urine smells really bad. I can't control when I have to go, and it's really urgent when I do.","['Urinary Tract Infection (UTI)', 'Overactive Bladder', 'Bladder Infection', 'Kidney Stone']",urinary tract infection,1,5
"I've been having to pee a lot, and it hurts when I do. Sometimes I see blood in my pee, and it smells really bad. I'm worried that I have an infection. What should I do?","['Urinary Tract Infection (UTI)', 'Bladder Infection', 'Kidney Stones', 'Bladder Cancer']",urinary tract infection,1,5
I have been having cramps in my calves when I walk or stand for long periods of time. I have also noticed bruise marks on my calves. I feel tired very soon.,"['Iron Deficiency Anemia', 'Deep Vein Thrombosis', 'Chronic Venous Insufficiency', 'Peripheral Artery Disease']",varicose veins,1,2
I have some red and inflamed skin on my legs. I think I can see some of the swollen blood vessels. I'm really worried about it.,"['Varicose Veins', 'Thrombophlebitis', 'Contact Dermatitis', 'Cellulitis']",varicose veins,1,5
I have some veins in my legs that are bulging out. I'm concerned about it. I'm also overweight and I think that might be the cause.,"['Varicose Veins', 'Deep Vein Thrombosis', 'Chronic Venous Insufficiency', 'Cellulitis']",varicose veins,1,5
