output_text,input_text,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,sentence_6,sentence_7,sentence_8
impetigo,"I'm running a fever and I have a rash on my face, neck, and arms. The rash is painful and red. I'm worried about my health.","I'm running a fever and I have a rash on my face, neck, and arms.",The rash is painful and red.,I'm worried about my health.,no more information,,,, 
jaundice,"I have been feeling really sick lately. I have been itching all over, and I have been vomiting. I have also lost a lot of weight, and I have a fever. My skin has turned yellow, and my urine is dark. I have also been having abdominal pain.",I have been feeling really sick lately.,"I have been itching all over, and I have been vomiting.","I have also lost a lot of weight, and I have a fever.","My skin has turned yellow, and my urine is dark.",I have also been having abdominal pain.,no more information,, 
jaundice,I've been feeling really sick and tired. I've lost weight and have a fever. My urine is dark and my skin is yellow. I also have stomach pain.,I've been feeling really sick and tired.,I've lost weight and have a fever.,My urine is dark and my skin is yellow.,I also have stomach pain.,no more information,,, 
migraine,"I've been having a lot of headaches lately, and they're getting worse. I also have a sore neck, and I'm feeling anxious and irritated. I've also been having trouble seeing things clearly.","I've been having a lot of headaches lately, and they're getting worse.","I also have a sore neck, and I'm feeling anxious and irritated.",I've also been having trouble seeing things clearly.,no more information,,,, 
migraine,"I have been having frequent headaches and blurred vision. I also have a stiff neck, anxiety, irritability, and visual disturbance. I have also been having stomach problems, including indigestion and acidity.",I have been having frequent headaches and blurred vision.,"I also have a stiff neck, anxiety, irritability, and visual disturbance.","I have also been having stomach problems, including indigestion and acidity.",no more information,,,, 
peptic ulcer disease,"I have a lot of hunger and I can't seem to get enough to eat. My stomach hurts and cramps sometimes. After I eat, I get really bad gas and bloating.",I have a lot of hunger and I can't seem to get enough to eat.,My stomach hurts and cramps sometimes.,"After I eat, I get really bad gas and bloating.",no more information,,,, 
peptic ulcer disease,I have been losing weight and having trouble gaining weight. I have pain and discomfort in my stomach that is relieved by taking antacids. My mouth tastes bad.,I have been losing weight and having trouble gaining weight.,I have pain and discomfort in my stomach that is relieved by taking antacids.,My mouth tastes bad.,no more information,,,, 
pneumonia,I'm having trouble breathing and I feel really uncomfortable. I'm sweating a lot and my throat is really sore. My chest hurts and my heart is beating fast. I'm coughing up a lot of mucus and it's brown.,I'm having trouble breathing and I feel really uncomfortable.,I'm sweating a lot and my throat is really sore.,My chest hurts and my heart is beating fast.,I'm coughing up a lot of mucus and it's brown.,no more information,,, 
pneumonia,"I've been feeling really sick for the past few days. I have a fever, I can't catch my breath, and I'm coughing up a lot of phlegm. My chest hurts, and my heart is racing.",I've been feeling really sick for the past few days.,"I have a fever, I can't catch my breath, and I'm coughing up a lot of phlegm.","My chest hurts, and my heart is racing.",no more information,,,, 
psoriasis,I have a rash on my skin that is red and itchy. It bleeds when I scratch it. I also have little dents in my nails and they are inflamed.,I have a rash on my skin that is red and itchy.,It bleeds when I scratch it.,I also have little dents in my nails and they are inflamed.,no more information,,,, 
psoriasis,"I've had this rash on my arms, legs, and chest for a few weeks. It's red and itchy, and it's covered in dry, scaly spots. I also have some pain in my joints.","I've had this rash on my arms, legs, and chest for a few weeks.","It's red and itchy, and it's covered in dry, scaly spots.",I also have some pain in my joints.,no more information,,,, 
typhoid,"I have been having diarrhea for a few days now. I have loose, watery stools and I have to go to the bathroom a lot. I also feel nauseated and have lost my appetite. I have a mild fever too.",I have been having diarrhea for a few days now.,"I have loose, watery stools and I have to go to the bathroom a lot.",I also feel nauseated and have lost my appetite.,I have a mild fever too.,no more information,,, 
typhoid,"I'm feeling really weak. I've been having a lot of stomach pain and constipation, and I've been vomiting a lot. I can't eat anything because of the pain.",I'm feeling really weak.,"I've been having a lot of stomach pain and constipation, and I've been vomiting a lot.",I can't eat anything because of the pain.,no more information,,,, 
urinary tract infection,"I have a pain in my lower abdomen and I feel like I have to pee all the time. When I do pee, it burns and I feel like I'm not getting everything out. I've also been feeling really cold and weak.",I have a pain in my lower abdomen and I feel like I have to pee all the time.,"When I do pee, it burns and I feel like I'm not getting everything out.",I've also been feeling really cold and weak.,no more information,,,, 
urinary tract infection,"I've been having a hard time peeing. It hurts when I go, and it's bloody. My head hurts, and my urine smells really bad. I can't control when I have to go, and it's really urgent when I do.",I've been having a hard time peeing.,"It hurts when I go, and it's bloody.","My head hurts, and my urine smells really bad.","I can't control when I have to go, and it's really urgent when I do.",no more information,,, 
varicose veins,I have been having cramps in my calves when I walk or stand for long periods of time. I have also noticed bruise marks on my calves. I feel tired very soon.,I have been having cramps in my calves when I walk or stand for long periods of time.,I have also noticed bruise marks on my calves.,I feel tired very soon.,no more information,,,, 
varicose veins,I have some red and inflamed skin on my legs. I think I can see some of the swollen blood vessels. I'm really worried about it.,I have some red and inflamed skin on my legs.,I think I can see some of the swollen blood vessels.,I'm really worried about it.,no more information,,,, 
